Text,Rating,Tanggal,Username,Label Sentimen
seruu!!,5,2025-03-05 16:32:55,Pengguna Google,positif
setelah update game jadi lebih lag dan suka drop fps,3,2025-03-05 16:03:48,Pengguna Google,netral
"Ko download data nya lama banget ya padahal jaringannya bagus,tolong dong",4,2025-03-05 15:53:04,Pengguna Google,positif
Best game,5,2025-03-05 14:26:41,Pengguna Google,positif
Game bagus,5,2025-03-05 14:22:45,Pengguna Google,positif
"Gameplay lumayan, tapi cepat bosan, bikin ngantuk, jadi ku uninstall",3,2025-03-05 13:52:12,Pengguna Google,netral
Game bagus,5,2025-03-05 13:07:29,Pengguna Google,positif
Gara gara kau recomend aku server asia aku main jadi lag jadi aku harap bisa ubah server tanpa buat akun lagi bisa kah kuro?🙏,4,2025-03-05 11:36:22,Pengguna Google,positif
story is good I like,5,2025-03-05 11:10:15,Pengguna Google,positif
"gamenya bagus, optimalisasinya sangat bagus ramah di helio g99 tanpa lag bermainnya😁, no bug. untuk kedepannya semogahan di buat bahagia Indonesianya biar lebih mudah di pahami",5,2025-03-05 10:53:24,Pengguna Google,positif
gak bagus ribet kenapa juga harus berubah jadi monster.,1,2025-03-05 08:50:06,Pengguna Google,negatif
Bagus Mecha nya kerasa pas main rpg nya bagus pokoknya mantap deh nyesel yng gk download,5,2025-03-05 08:38:02,Pengguna Google,positif
"Sejak 1.0 sampai sekarang 2.1 terasa banget perkembangannya, explorationnya bagus, questnya asik, karakternya juga unik unik. Semangat terus mengembangkan gamenya.",5,2025-03-05 08:22:43,Pengguna Google,positif
Do game developers think we don’t have a life or what? The endgame content is insanely difficult. We only play once a week—do they think we have no life or something? It’s way too hard. Only people who take the game seriously can keep up. Damn it.,1,2025-03-05 07:47:34,Pengguna Google,negatif
Bang kuro tolong buatkan fitur nikah sama character di dalam game🥰,5,2025-03-05 07:37:25,Pengguna Google,positif
Device issue kek aku gini hanya bisa support 5 stars,5,2025-03-05 05:41:12,Pengguna Google,positif
good,5,2025-03-05 04:25:19,Pengguna Google,positif
"Gacha selalu ampas, padahal daily gapernah libur seakan WuWa sudah tamat, tapi kenapa gini gacha-nya gapernah menang rate off, selalu di pity 60 keatas, menyala game favorit",5,2025-03-05 04:05:14,Pengguna Google,positif
good,5,2025-03-05 01:03:13,Pengguna Google,positif
Nice game,5,2025-03-05 00:49:39,Pengguna Google,positif
Tambahkan bhs Indonesia plss,5,2025-03-04 23:21:10,Pengguna Google,positif
nice game...,5,2025-03-04 22:39:09,Pengguna Google,positif
"Parahh, ni game bener bener absolute cinema. Gua ngasih feedback kurogame tentang bug crash yang masih ada langsung ilang jir. Good game",5,2025-03-04 22:38:19,Pengguna Google,positif
keren,5,2025-03-04 18:33:02,Pengguna Google,positif
game bagusss,5,2025-03-04 17:45:14,Pengguna Google,positif
game bagus,5,2025-03-04 16:52:41,Pengguna Google,positif
Cerita seru dan gameplay yang menyenangkan tapi tidak memiliki bahasa Indonesia😓,4,2025-03-04 16:51:26,Pengguna Google,positif
"Setelah update patch 2.1 , game ini lebih sering terjadi force close di hp saya samsung A55 5G ruang penyimpanan masih 135GB setelah update. Akhirnya pilih uninstal drpd pusing2. Wkwkwk",1,2025-03-04 16:29:41,Pengguna Google,negatif
sheeesh,5,2025-03-04 16:04:34,Pengguna Google,positif
Memuaskan,5,2025-03-04 15:43:38,Pengguna Google,positif
i realized i can't get everything 😭,5,2025-03-04 15:42:43,Pengguna Google,positif
The Best Game Cinematic Universe,5,2025-03-04 15:15:45,Pengguna Google,positif
Mantabb,5,2025-03-04 14:44:19,Pengguna Google,positif
game ga kikir,5,2025-03-04 12:35:17,Pengguna Google,positif
"keren banget, aku udah pre registrasi dan sangat sesuai ekspetasi. musuhnya juga gak kaleng2 kayak di pgr. tapi untuk pergerakan saya masih merasa kurang mulus dan itu membuat saya kesulitan dalam battle. Edit: untuk developer tolong untuk lebih di perhemat penggunaan RAM pada game ini, karena penggunaan RAM pada Punishing Gray Raven, Honkai Impact, Genshin Impact, atau Honkai Star Rail tidak lah seboros game ini (maaf untuk developer karena telah menyebut game sebelah🙏)",4,2025-03-04 12:10:57,Pengguna Google,positif
"Bagus bisa explore map, gameplay nya juga keren, tapi kenapa jika pakai jinshi damage nya jarang critical padahal crit rate 70% apakah itu bug atau memang seperti itu, kalau bug tolong di perbaiki ya kuro",5,2025-03-04 11:50:13,Pengguna Google,positif
Setiap ganti map gampang lag,3,2025-03-04 11:19:56,Pengguna Google,netral
Argghh game apa ini echo ga ada yang bener stat nya asooo,1,2025-03-04 10:59:08,Pengguna Google,negatif
"Saya tidak memberikan 5 bintang hanya karena animasi mobile dan pc berbeda jauh, hanya itu selainnya mantap!",4,2025-03-04 10:54:13,Pengguna Google,positif
"Gamenya bagus, Devnya juga baik sering ngasih bansos banyak event juga dan updatenya juga ok",5,2025-03-04 10:04:40,Pengguna Google,positif
pls fitur sayap bisa di smua map supaya gampang eksplor makasi sayang newbie,3,2025-03-04 09:46:55,Pengguna Google,netral
good,5,2025-03-04 08:45:44,Pengguna Google,positif
"Gamenya mantap, rispek",5,2025-03-04 08:06:35,Pengguna Google,positif
"Musuhnya jangan di seting menjauh please, terkadang saat musuh menjauh malah jadi kereset lagi darahnya",1,2025-03-04 07:36:36,Pengguna Google,negatif
keren,5,2025-03-04 06:29:49,Pengguna Google,positif
"Game baik, mantap buat dengerin playernya panjang umur DEV baik.",5,2025-03-04 03:59:39,Pengguna Google,positif
Best Anime RPG Game,5,2025-03-04 02:13:08,Pengguna Google,positif
Woi bang kuro kembalikin kebrutalan crownless yg dulu😡 (distorynya),5,2025-03-04 01:47:27,Pengguna Google,positif
Love It!!!,5,2025-03-04 01:17:02,Pengguna Google,positif
"Sea server always reconnect, I'll give 5 star after that done",5,2025-03-04 01:13:54,Pengguna Google,positif
Bad graphics optimization,1,2025-03-03 23:45:31,Pengguna Google,negatif
Ga ada bahasa indonesia,2,2025-03-03 22:20:05,Pengguna Google,negatif
sangat puas,5,2025-03-03 21:56:00,Pengguna Google,positif
"Semoga aja kedepannya ditambah bahasa indonesia, pengen banget nikmatin story nya",5,2025-03-03 21:14:32,Pengguna Google,positif
"game nya seru, aku sangat suka, storynya bagus terimakasih kuro games😃😃",5,2025-03-03 20:11:30,Pengguna Google,positif
bagus game nya,4,2025-03-03 20:10:45,Pengguna Google,positif
best game ..,5,2025-03-03 20:09:34,Pengguna Google,positif
Bagus tetapi sayang nya di perangkat poco tidak Kompetebel,4,2025-03-03 18:03:11,Pengguna Google,positif
the story is epic good for Beginner,5,2025-03-03 18:00:43,Pengguna Google,positif
Game tytyd rate off mulu,1,2025-03-03 17:07:26,Pengguna Google,negatif
Kuro Game ayo lah suport Bahasa Indonesia di Wuthering waves plis lah kuro game,5,2025-03-03 17:05:23,Pengguna Google,positif
ayo tambahin subtitle Indonesia Dev! biar ga ada yang ngeluh soal ga ada Bahasa Indonesia. (sebenarnya biar bisa nyobain dub jepang),5,2025-03-03 17:02:55,Pengguna Google,positif
Ada bug. Waveplate crystal yg gratis nya gak pernah nambah,2,2025-03-03 16:57:22,Pengguna Google,negatif
Best action rpg for me😺,5,2025-03-03 16:14:39,Pengguna Google,positif
"Kenapa yah, game seperti ini lebih di banyakin karakter wanita daripada pria.",3,2025-03-03 14:34:24,Pengguna Google,netral
